DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2021-02-02,15:00:00,9001,-21938000000,-105.16,,
2021-02-02,15:00:00,9001,,,,
2021-04-30,15:00:00,9001,-24965000000,-119.67,2132.83,
2021-07-29,15:00:00,9001,2782000000,13.34,,20.0
2021-10-29,15:00:00,9001,,,,
2021-10-29,15:00:00,9001,1664000000,7.98,,20.0
2022-02-04,15:00:00,9001,12162000000,58.3,,20.0
2022-02-04,15:00:00,9001,,,,
2022-04-28,15:00:00,9001,13453000000,64.49,2169.34,
2022-08-03,15:00:00,9001,9008000000,43.18,,25.0
2022-11-02,15:00:00,9001,13030000000,62.46,,25.0
2022-11-02,15:00:00,9001,,,,
2023-02-08,16:00:00,9001,28273000000,135.52,,25.0
2023-02-24,15:00:00,9001,,,,30.0
2023-02-24,15:00:00,9001,,,,
2023-04-28,15:00:00,9001,29179000000,140.06,2296.65,
2023-08-02,15:00:00,9001,16289000000,78.8,,30.0
2023-11-02,15:00:00,9001,26375000000,127.59,,45.0
2024-02-07,15:00:00,9001,40914000000,197.92,,45.0
2024-04-30,15:00:00,9001,48164000000,232.99,2591.47,
2024-08-05,15:00:00,9001,14891000000,72.04,,50.0
2024-11-06,15:30:00,9001,25339000000,123.18,,55.0
2025-02-05,15:30:00,9001,41832000000,205.18,,55.0
2025-04-30,15:30:00,9001,51330000000,252.99,2777.78,
2025-08-05,15:30:00,9001,13989000000,70.4,,65.0
2025-11-05,15:30:00,9001,24022000000,121.68,,65.0
