DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2021-02-05,16:00:00,5901,11209000000,59.6,,14.0
2021-05-14,18:00:00,5901,15946000000,84.79,3327.7,
2021-07-30,11:15:00,5901,,,,
2021-07-30,11:15:00,5901,12138000000,64.54,,46.0
2021-10-29,16:00:00,5901,23209000000,123.88,,46.0
2022-02-04,16:00:00,5901,32373000000,174.38,,78.0
2022-02-28,10:05:00,5901,,,,
2022-05-13,16:00:00,5901,44422000000,240.61,3510.2,
2022-07-29,16:00:00,5901,11061000000,60.92,,89.0
2022-10-31,16:00:00,5901,12470000000,68.68,,89.0
2023-02-03,16:00:00,5901,12379000000,68.18,,89.0
2023-04-28,16:00:00,5901,,,,
2023-05-12,15:00:00,5901,10363000000,57.07,3541.25,
2023-08-03,16:00:00,5901,8454000000,46.56,,90.0
2023-11-06,16:00:00,5901,14821000000,81.98,,90.0
2024-02-07,16:00:00,5901,24211000000,135.54,,90.0
2024-04-30,16:00:00,5901,,,,
2024-05-14,16:00:00,5901,23083000000,130.15,3832.36,
2024-08-02,16:00:00,5901,11321000000,65.23,,91.0
2024-11-08,16:00:00,5901,12319000000,71.73,,91.0
2025-02-06,16:00:00,5901,25196000000,148.81,,91.0
2025-02-28,16:00:00,5901,,,,
2025-05-14,16:00:00,5901,22394000000,134.05,4192.16,
2025-08-05,16:00:00,5901,16517000000,105.99,,114.0
2025-11-07,16:00:00,5901,34127000000,222.01,,114.0
