DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2021-02-01,15:15:00,8377,17192000000,125.51,,35.0
2021-04-23,15:00:00,8377,,,,
2021-05-13,15:00:00,8377,21334000000,152.17,4504.91,
2021-07-30,15:00:00,8377,7781000000,59.3,,35.0
2021-11-10,15:00:00,8377,13125000000,95.07,,35.0
2021-10-25,15:55:00,8377,,,,
2021-11-10,15:00:00,8377,,,,
2022-01-31,15:30:00,8377,19877000000,146.48,,35.0
2022-05-11,15:00:00,8377,20526000000,147.47,4539.12,
2022-07-29,15:00:00,8377,5730000000,44.78,,35.0
2022-11-11,15:00:00,8377,9306000000,68.28,,35.0
2022-11-07,16:15:00,8377,,,,
2023-01-31,15:00:00,8377,14031000000,105.16,,35.0
2023-05-10,15:00:00,8377,21435000000,159.18,4491.95,
2023-07-31,15:00:00,8377,4538000000,35.69,,37.0
2023-11-10,15:30:00,8377,16092000000,124.01,,37.0
2023-10-30,17:10:00,8377,,,,
2024-01-30,15:00:00,8377,20982000000,163.42,,37.0
2024-05-10,15:00:00,8377,23048000000,176.99,5083.31,
2024-04-25,16:00:00,8377,,,,40.0
2024-07-29,15:00:00,8377,7459000000,60.1,,40.0
2024-11-11,15:30:00,8377,18602000000,147.44,,42.5
2024-11-05,16:30:00,8377,,,,
2025-02-03,15:30:00,8377,31073000000,248.97,,42.5
2025-02-03,15:30:00,8377,,,,
2025-05-12,15:00:00,8377,39072000000,311.56,5150.89,
2025-04-25,16:00:00,8377,,,,50.0
2025-07-25,15:00:00,8377,14216000000,116.3,,70.0
2025-11-10,15:00:00,8377,30385000000,249.46,,90.0
2025-11-04,16:15:00,8377,,,,90.0
