DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual
2021-03-01,15:00:00,2593,5754000000,46.1,,40.0
2021-06-01,15:00:00,2593,7011000000,55.1,1250.37,
2021-09-01,15:00:00,2593,4464000000,36.82,,40.0
2021-12-01,15:00:00,2593,7752000000,62.57,,40.0
2022-03-01,15:00:00,2593,10338000000,83.9,,40.0
2022-06-01,15:00:00,2593,12928000000,103.92,1334.88,
2022-09-01,15:00:00,2593,4217000000,34.86,,40.0
2022-12-01,15:00:00,2593,7923000000,64.14,,40.0
2023-03-01,15:00:00,2593,10185000000,82.83,,40.0
2023-06-01,15:00:00,2593,12888000000,103.82,1408.55,
2023-09-01,15:00:00,2593,6828000000,56.43,,42.0
2023-11-29,16:45:00,2593,,,,
2023-12-01,15:00:00,2593,11209000000,91.01,,42.0
2024-03-01,15:00:00,2593,14243000000,116.09,,42.0
2024-06-03,15:00:00,2593,15650000000,126.42,1516.16,
2024-09-02,15:00:00,2593,4440000000,37.31,,44.0
2024-12-02,15:30:00,2593,9191000000,75.97,,44.0
2025-03-03,15:30:00,2593,11367000000,94.76,,44.0
2025-05-02,18:30:00,2593,,,,
2025-06-02,15:30:00,2593,14156000000,117.5,1511.77,
2025-09-01,15:30:00,2593,5712000000,49.6,,48.0
2025-12-01,15:30:00,2593,9542000000,81.24,,48.0
2026-01-27,16:00:00,2593,,,,
